CATEGORIE;DATE;QUART;PDQ;LAT;LONG
Introduction;2018-03-29;jour;13;45.4306422679592;-73.6472664474696
Vol dans / sur véhicule à moteur;2018-03-29;soir;13;45.4474160988679;-73.610239743791
Vol de véhicule à moteur;2018-03-29;jour;13;45.4324032161828;-73.6298912135042
Vol de véhicule à moteur;2018-03-29;jour;13;45.4324032161828;-73.6298912135042
Vol de véhicule à moteur;2018-03-29;jour;13;45.4324032161828;-73.6298912135042
Introduction;2018-03-29;soir;15;45.4840480811698;-73.5579415120233
Méfait;2018-03-29;soir;15;45.4854958681759;-73.5723648526993
Méfait;2018-03-29;jour;16;45.4532528369002;-73.5765846738422
Méfait;2018-03-29;jour;16;45.4568537478907;-73.5501095165097
Méfait;2018-03-29;nuit;16;45.4660611506056;-73.5636336074868
Méfait;2018-03-29;jour;16;45.4629257982309;-73.5702499898766
Vol de véhicule à moteur;2018-03-29;jour;16;45.4578750212313;-73.5553400697699
Méfait;2018-03-29;soir;20;45.5032359622469;-73.5668817385197
Vol dans / sur véhicule à moteur;2018-03-29;soir;20;45.5002049622656;-73.5856730658368
Vol dans / sur véhicule à moteur;2018-03-29;nuit;20;45.505373642249;-73.5677447968167
Vol dans / sur véhicule à moteur;2018-03-29;soir;20;1;1
Vol dans / sur véhicule à moteur;2018-03-29;soir;21;45.5053616716024;-73.5531998136427
Méfait;2018-03-29;nuit;22;45.5345439949482;-73.5563043964397
Méfait;2018-03-29;nuit;23;45.5450707147664;-73.542507586756
Méfait;2018-03-29;nuit;23;45.5448725266592;-73.5449729717175
Méfait;2018-03-29;nuit;23;45.5472974385137;-73.5440798015942
Méfait;2018-03-29;nuit;23;45.5472974385137;-73.5440798015942
Vols qualifiés;2018-03-29;jour;23;45.5436262120149;-73.5457336516918
Introduction;2018-03-29;nuit;24;45.5200602516174;-73.6113719740457
Vol dans / sur véhicule à moteur;2018-03-29;jour;24;1;1
Introduction;2018-03-29;jour;26;45.507043733916;-73.6264775598123
Méfait;2018-03-29;jour;26;45.4910780054969;-73.6452619626816
Méfait;2018-03-29;jour;26;45.48716521888;-73.6376078819947
Méfait;2018-03-29;jour;26;45.4896796921026;-73.6421353142831
